Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.40,6.47,6.30,6.35,1995600,5.033352
2013-03-01,6.49,6.99,6.26,6.40,1987000,5.072985
2013-02-01,5.21,6.58,5.12,6.53,1981000,5.129539
2013-01-02,4.50,5.30,4.41,5.11,963700,4.01408
2012-12-03,4.25,4.45,4.10,4.39,1009800,3.448495
2012-11-01,4.32,4.83,3.73,4.23,1186000,3.32281
2012-10-01,4.44,4.72,4.08,4.32,810600,3.356622
2012-09-04,3.93,4.58,3.86,4.42,749600,3.434322
2012-08-01,3.81,4.25,3.73,3.93,883900,3.053594
2012-07-02,3.38,3.85,3.38,3.78,905600,2.900147
2012-06-01,3.04,3.39,2.96,3.37,1654100,2.585581
2012-05-01,3.59,3.76,2.86,3.09,973300,2.370755
2012-04-02,3.60,3.86,3.41,3.58,797700,2.706307
2012-03-01,3.84,4.12,3.40,3.56,1063300,2.691188
2012-02-01,3.50,4.44,3.48,3.85,1371400,2.871917
2012-01-03,3.44,3.78,3.37,3.45,1190000,2.573536
2011-12-01,3.38,3.74,3.20,3.38,1400900,2.521319
2011-11-01,3.46,3.72,3.04,3.40,1180100,2.536238
2011-10-03,3.00,4.09,2.67,3.57,1499300,2.66305
2011-09-01,3.52,3.59,2.93,3.01,1114500,2.245317
2011-08-01,4.55,4.63,3.06,3.54,2346600,2.640671
2011-07-01,4.81,5.06,4.21,4.49,1481100,3.349326
2011-06-01,5.10,5.21,4.42,4.82,1745500,3.59549
2011-05-02,6.15,6.37,5.00,5.16,2011800,3.849114
2011-04-01,5.73,6.21,5.52,6.17,1562900,4.602526
2011-03-01,6.97,6.97,5.23,5.68,2330600,4.23701
2011-02-01,5.50,6.85,5.44,6.71,1775800,5.005341
2011-01-03,5.79,5.91,5.19,5.45,1208600,4.06544
2010-12-01,4.67,5.98,4.56,5.70,1615300,4.251928
2010-11-01,4.39,5.18,4.33,4.56,1673500,3.401543
2010-10-01,3.61,4.49,3.51,4.40,1623200,3.282191
2010-09-01,3.38,3.96,3.33,3.59,926200,2.677969
2010-08-02,3.65,4.28,3.09,3.35,1408400,2.49894
2010-07-01,2.83,4.13,2.70,3.52,1780700,2.625752
2010-06-01,4.07,4.17,2.79,2.87,1828100,2.140883
2010-05-03,4.89,5.25,3.81,4.11,2435000,3.065864
2010-04-01,4.05,5.46,4.00,4.75,3033700,3.543274
2010-03-01,4.05,4.85,3.94,3.99,2221100,2.97635
2010-02-01,4.58,4.90,3.93,4.03,1385800,3.006188
2010-01-04,4.59,5.43,4.54,4.56,1304100,3.401543
2009-12-01,4.06,4.75,3.85,4.45,1304000,3.319488
2009-11-02,4.30,4.67,3.88,4.02,1622900,2.998729
2009-10-01,5.17,5.85,4.05,4.19,2821100,3.12554
2009-09-01,4.49,5.96,3.94,5.20,4388600,3.878952
2009-08-03,4.18,5.52,4.09,4.53,5472700,3.379164
2009-07-01,3.38,4.12,2.61,3.99,2288800,2.97635
2009-06-01,4.88,4.88,2.91,3.42,3348800,2.551157
2009-05-01,3.48,8.30,3.48,4.65,11218500,3.468678
2009-04-01,2.48,3.70,2.03,3.46,1860100,2.580995
2009-03-02,1.22,3.40,1.02,2.51,1796000,1.87234
2009-02-02,1.44,1.90,1.25,1.25,586700,0.93244
2009-01-02,1.08,2.50,1.08,1.50,2425300,1.118929
2008-12-01,2.90,3.00,0.77,1.00,1700900,0.745952
2008-11-03,4.79,5.09,1.80,3.05,505400,2.275155
2008-10-01,10.37,10.47,2.51,4.90,894600,3.655167
2008-09-02,10.20,13.85,8.51,10.50,872100,7.8325
2008-08-01,11.99,12.01,9.30,10.05,412200,7.496821
2008-07-01,12.08,12.29,8.38,11.86,716700,8.846994
2008-06-02,14.47,14.69,12.05,12.32,461300,9.190133
2008-05-01,14.60,16.00,13.28,14.33,574300,10.516715
2008-04-01,12.45,15.18,11.69,14.60,745400,10.714868
2008-03-03,14.00,14.00,9.50,12.28,1280500,9.012231
2008-02-01,14.71,15.00,11.80,14.00,914400,10.078783
2008-01-02,15.60,16.58,10.53,14.80,1131700,10.654714
2007-12-03,17.889999,19.50,14.97,15.58,559500,11.216246
2007-11-01,21.51,21.99,15.68,18.209999,1157300,12.931281
2007-10-01,21.15,24.73,20.25,22.049999,588400,15.658141
2007-09-04,17.610001,22.00,16.75,21.32,1006000,15.139753
2007-08-01,19.450001,22.00,16.049999,17.530001,1479500,12.315657
2007-07-02,23.82,25.059999,18.42,18.969999,1514200,13.327324
2007-06-01,26.75,27.959999,21.90,23.82,1940000,16.73468
2007-05-01,29.02,30.74,26.690001,26.799999,836800,18.6383
2007-04-02,29.00,34.029999,27.360001,29.01,711900,20.175264
2007-03-01,29.50,29.85,23.34,28.68,1655400,19.945763
2007-02-09,35.00,37.00,27.10,30.17,4757500,20.890705
