Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,24.35,24.889999,24.280001,24.57,434000,14.627914
2013-03-01,22.99,25.10,22.57,24.190001,154000,14.401679
2013-02-01,23.34,23.50,22.09,23.049999,122100,13.722972
2013-01-02,22.58,23.50,21.82,23.40,139500,13.64249
2012-12-03,22.35,22.98,21.23,22.469999,189300,13.100288
2012-11-01,24.450001,26.50,22.200001,22.299999,373800,13.001176
2012-10-01,25.459999,26.780001,23.620001,24.90,94300,14.266313
2012-09-04,24.58,26.43,24.459999,25.52,23900,14.621538
2012-08-01,25.24,27.00,24.08,24.52,23800,14.048594
2012-07-02,27.200001,28.23,24.360001,25.049999,19200,14.352254
2012-06-01,25.290001,27.450001,23.15,27.00,71300,15.240318
2012-05-01,26.450001,27.15,24.219999,25.68,54200,14.495236
2012-04-02,27.799999,28.889999,24.50,26.42,86300,14.912933
2012-03-01,22.700001,31.969999,21.51,27.870001,59800,15.659508
2012-02-24,20.25,23.90,20.00,22.50,11400,12.642229
