Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,8.89,8.90,8.37,8.69,2693600,7.469503
2013-03-01,8.46,8.94,8.10,8.92,1142400,7.667201
2013-02-01,8.51,8.81,7.72,8.50,740800,7.306189
2013-01-02,7.22,8.50,6.92,8.43,441600,7.24602
2012-12-03,6.35,7.14,6.11,7.11,234200,6.111412
2012-11-01,5.45,6.63,5.30,6.40,160300,5.501131
2012-10-01,6.05,6.07,5.19,5.45,99700,4.684556
2012-09-04,5.30,6.24,5.20,6.00,162200,5.15731
2012-08-01,6.10,6.47,5.19,5.32,112100,4.572815
2012-07-02,6.42,6.88,5.14,6.01,102300,5.165905
2012-06-01,5.47,6.51,5.14,6.39,176500,5.492535
2012-05-01,6.80,6.86,5.40,5.59,108500,4.804893
2012-04-02,7.05,7.50,6.05,6.77,214100,5.819164
2012-03-01,6.42,7.50,6.33,7.06,214800,6.068434
2012-02-01,5.82,6.47,5.57,6.37,176200,5.475344
2012-01-03,5.04,5.93,4.93,5.77,180000,4.959613
2011-12-01,5.35,5.43,4.28,4.89,705400,4.203207
2011-11-01,6.03,7.03,5.55,6.66,75300,5.724614
2011-10-03,5.27,6.70,4.69,6.39,109700,5.492535
2011-09-01,6.82,7.33,4.93,5.28,160100,4.538433
2011-08-01,7.48,8.01,5.74,6.86,139600,5.896524
2011-07-01,9.99,10.08,7.23,7.39,132500,6.352086
2011-06-01,10.17,10.24,9.25,9.99,121100,8.586921
2011-05-02,11.81,12.18,9.94,10.09,181800,8.672875
2011-04-01,10.36,12.10,9.96,11.77,125500,10.116922
2011-03-01,10.27,10.42,9.80,10.32,39500,8.870572
2011-02-01,9.90,10.59,9.75,10.29,43400,8.844786
2011-01-03,10.19,10.82,9.62,9.81,61200,8.432201
2010-12-01,9.94,10.85,9.61,10.11,107400,8.690066
2010-11-01,11.74,11.95,9.50,9.95,139700,8.552538
2010-10-01,11.38,11.89,11.06,11.68,55000,10.039563
2010-09-01,10.98,11.45,10.33,11.29,57900,9.704338
2010-08-02,11.03,11.41,10.31,10.82,45500,9.300348
2010-07-01,11.55,11.92,10.04,10.95,64100,9.41209
2010-06-01,11.40,12.15,10.20,11.45,147500,9.841866
2010-05-03,12.25,12.31,10.05,11.50,232300,9.884844
2010-04-01,12.73,13.01,12.13,12.50,264100,10.744395
2010-03-31,12.75,12.90,12.10,12.56,5923200,10.795969
