Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,4.55,4.63,4.30,4.34,109200,4.125542
2013-03-01,4.34,4.70,4.30,4.54,97400,4.315659
2013-02-01,3.73,4.52,3.71,4.36,141400,4.144553
2013-01-02,3.45,3.94,3.37,3.72,85400,3.536179
2012-12-03,3.92,3.94,3.20,3.40,60400,3.231991
2012-11-01,3.10,3.84,2.92,3.84,49700,3.650249
2012-10-01,2.95,3.28,2.77,3.05,95100,2.899286
2012-09-04,2.40,3.04,2.40,2.88,75400,2.737687
2012-08-01,2.65,3.13,2.38,2.40,120100,2.281405
2012-07-02,2.59,3.00,2.52,2.65,92400,2.519052
2012-06-01,2.99,3.00,2.41,2.58,154200,2.452511
2012-05-01,3.92,4.06,2.23,3.03,110300,2.880274
2012-04-02,4.88,4.98,3.86,3.92,93900,3.726296
2012-03-01,5.91,6.03,4.40,4.90,125500,4.657869
2012-02-01,6.40,6.47,5.06,5.83,125700,5.541914
2012-01-03,6.54,6.92,6.24,6.36,85900,6.045724
2011-12-01,6.92,7.05,5.10,6.44,120000,6.121771
2011-11-01,6.59,8.03,6.09,6.92,108100,6.578053
2011-10-03,5.74,7.27,4.70,7.03,93500,6.682617
2011-09-01,6.30,6.36,5.09,5.82,218600,5.532408
2011-08-01,6.18,6.55,4.75,6.27,351700,5.960172
2011-07-01,7.66,7.82,5.95,6.08,315400,5.779561
2011-06-01,9.50,9.50,6.87,7.66,517200,7.281486
2011-05-02,11.42,11.64,7.15,9.41,615900,8.94501
2011-04-01,12.42,12.51,10.25,11.40,280800,10.836676
2011-03-01,13.27,14.23,11.24,12.33,217300,11.72072
2011-02-01,11.99,13.74,11.00,13.19,330500,12.538223
2011-01-03,12.45,12.67,10.97,11.99,288100,11.397521
2010-12-01,9.33,12.58,9.27,12.26,334100,11.65418
2010-11-01,8.75,9.86,8.52,9.29,225800,8.83094
2010-10-01,8.18,9.30,7.76,8.66,160300,8.232071
2010-09-01,8.54,8.96,8.05,8.15,151900,7.747272
2010-08-02,9.90,10.16,8.27,8.41,133000,7.994425
2010-07-01,8.76,10.17,8.20,9.66,179100,9.182657
2010-06-01,9.69,11.00,8.49,8.83,248900,8.393671
2010-05-03,11.38,11.44,8.15,9.75,253300,9.268209
2010-04-01,9.79,11.68,9.51,11.28,207500,10.722606
2010-03-01,10.21,10.60,8.45,9.59,225500,9.116117
2010-02-01,6.51,10.44,6.51,10.20,505000,9.695973
2010-01-04,7.45,8.20,6.51,6.51,109100,6.188313
2009-12-01,6.45,7.50,5.96,7.26,97000,6.901252
2009-11-02,5.67,6.59,5.43,6.38,142500,6.064736
2009-10-01,5.91,6.90,5.42,5.67,109800,5.389821
2009-09-01,6.30,6.91,5.79,6.00,94600,5.703514
2009-08-03,5.41,7.03,5.04,6.28,178800,5.969678
2009-07-01,6.13,6.20,4.51,5.34,139600,5.076127
2009-06-01,6.98,8.56,4.75,6.09,245600,5.789066
2009-05-01,4.01,7.16,3.82,6.91,177900,6.568546
2009-04-01,3.06,4.18,2.81,3.95,165700,3.754813
2009-03-02,2.01,3.51,1.52,3.05,108500,2.899286
2009-02-02,2.00,2.95,2.00,2.02,137400,1.920183
2009-01-02,3.34,4.36,2.01,2.07,187000,1.967712
2008-12-01,2.77,3.60,2.30,3.34,384400,3.174956
2008-11-03,3.88,4.69,1.63,2.84,444700,2.699663
2008-10-01,10.43,10.53,2.34,4.06,396100,3.859377
2008-09-02,15.99,16.00,8.73,10.37,176100,9.857573
2008-08-01,18.08,18.299999,13.63,16.52,220900,15.703674
2008-07-01,21.34,21.85,16.629999,18.09,262700,17.196095
2008-06-02,17.85,24.50,17.129999,21.68,371700,20.608696
2008-05-01,16.23,19.07,15.71,17.90,118700,17.015482
2008-04-01,15.41,18.959999,14.84,16.18,110200,15.380475
2008-03-03,16.42,16.74,14.18,15.34,108100,14.581984
2008-02-01,12.04,17.50,9.68,16.58,223800,15.760709
2008-01-02,13.60,14.58,10.64,11.95,139100,11.359498
2007-12-03,13.05,14.28,12.30,13.55,149900,12.880435
2007-11-01,18.389999,20.08,12.37,12.90,215000,12.262554
2007-10-01,17.360001,19.469999,16.76,18.559999,115700,17.642868
2007-09-04,17.25,18.059999,16.049999,17.26,127700,16.407108
2007-08-01,17.60,19.00,16.110001,17.26,216500,16.407108
2007-07-02,19.77,21.43,17.129999,17.24,82100,16.388096
2007-06-01,21.18,21.98,19.51,20.26,74600,19.258865
2007-05-01,21.40,23.719999,20.68,21.18,75900,20.133404
2007-04-02,21.08,22.799999,18.60,21.40,89100,20.342531
2007-03-01,19.23,21.389999,18.809999,21.09,88500,20.04785
2007-02-01,17.209999,19.379999,16.549999,19.129999,75600,18.184702
2007-01-03,16.51,17.299999,15.01,17.139999,160800,16.293037
2006-12-01,17.00,18.15,15.40,16.280001,144600,15.475534
2006-11-22,15.50,17.33,15.40,17.02,1290000,16.178967
